GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620001.00,CT,Montréal,0.384874818879366,2388,1096,1095,109385,491,1990,125
4620002.00,CT,Montréal,0.387070900762141,2812,1265,1260,100160,487,2360,70
4620003.00,CT,Montréal,0.733714301348805,6527,2721,2720,127379,525,5405,435
4620004.00,CT,Montréal,0.445990908161044,3130,1491,1485,114209,519,2640,165
4620005.00,CT,Montréal,0.506877701813102,3217,1529,1525,122021,584,2710,155
4620006.00,CT,Montréal,0.553454136312962,4380,1834,1830,129502,497,3475,245
4620007.00,CT,Montréal,1.08202468572094,5675,2701,2695,110360,455,4910,455
4620008.00,CT,Montréal,0.569436370671242,2966,1375,1375,108740,514,2515,245
4620009.00,CT,Montréal,4.08359024536724,3806,1674,1670,98476,484,3115,185
4620010.00,CT,Montréal,0.835976612869263,1418,632,635,113643,525,1200,100
4620011.00,CT,Montréal,1.2380207774234,4935,1850,1845,122964,498,3275,325
4620012.01,CT,Montréal,0.237012311817646,2616,1276,1275,151078,490,2195,145
4620012.02,CT,Montréal,0.396859662475348,4141,1982,1970,155986,511,3400,345
4620013.00,CT,Montréal,1.08556843292165,4473,2293,2285,111955,472,3940,335
4620014.01,CT,Montréal,0.906944403419733,5256,2702,2685,107026,430,4465,670
4620014.02,CT,Montréal,0.829392944404591,25,9,0,x,x,x,x
4620015.00,CT,Montréal,0.377494982691288,3167,1532,1520,97982,479,2465,225
4620016.00,CT,Montréal,0.513868548055589,2505,1091,1080,101267,515,1840,205
4620017.00,CT,Montréal,0.227841414724946,1991,933,930,83366,524,1595,130
4620018.00,CT,Montréal,0.358993663858891,1972,1030,1020,110987,507,1650,145
4620019.00,CT,Montréal,0.387057250729322,2085,1094,1085,99217,482,1730,160
