GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_737: Employed,v_CA01_738: Unemployed
4620001.00,CT,Montréal,0.4583,2445,1226,1165,1180,65
4620002.00,CT,Montréal,0.3865,2734,1339,1280,1250,130
4620003.00,CT,Montréal,0.7392,6522,2945,2850,3030,280
4620004.00,CT,Montréal,0.4516,3213,1575,1525,1505,115
4620005.00,CT,Montréal,0.562,3171,1630,1565,1535,120
4620006.00,CT,Montréal,0.6476,4541,2081,2015,2045,230
4620007.00,CT,Montréal,1.0993,5699,2849,2780,2670,320
4620008.00,CT,Montréal,0.6239,2957,1441,1385,1535,110
4620009.00,CT,Montréal,4.27,3657,1669,1615,1735,170
4620010.00,CT,Montréal,0.9323,1444,674,665,665,50
4620011.00,CT,Montréal,1.2497,4652,1981,1925,1720,155
4620012.01,CT,Montréal,0.236,2637,1329,1320,1165,105
4620012.02,CT,Montréal,0.3967,4206,2113,2080,1845,345
4620013.00,CT,Montréal,1.0834,4355,2395,2315,2045,205
4620014.01,CT,Montréal,0.9061,5876,3120,3050,2965,375
4620014.02,CT,Montréal,0.8819,0,9,0,x,x
4620015.00,CT,Montréal,0.3754,3421,1784,1710,1435,200
4620016.00,CT,Montréal,0.5188,2737,1230,1180,1110,195
4620017.00,CT,Montréal,0.2233,2022,1015,995,895,135
4620018.00,CT,Montréal,0.3673,2158,1169,1150,915,170
4620019.00,CT,Montréal,0.3367,2329,1252,1215,970,130
4620021.00,CT,Montréal,0.44,3220,1637,1565,1170,230
4620022.00,CT,Montréal,0.1697,1752,838,815,565,195
4620023.00,CT,Montréal,0.3575,1135,582,575,580,70
4620024.00,CT,Montréal,0.2739,2621,1368,1330,1150,160
4620025.00,CT,Montréal,0.2247,2919,1344,1310,1200,175
4620026.00,CT,Montréal,0.1729,1981,1120,1075,890,85
4620027.00,CT,Montréal,0.0949,1807,967,920,785,195
4620028.00,CT,Montréal,0.155,2158,1182,1165,1220,100
4620029.00,CT,Montréal,0.3976,3807,2010,1960,1870,185
4620030.00,CT,Montréal,0.2993,3360,1814,1770,1570,230
4620031.00,CT,Montréal,0.2523,2782,1550,1520,1455,205
4620032.00,CT,Montréal,0.127,1457,965,875,860,100
4620033.00,CT,Montréal,0.1575,1893,992,950,880,100
4620034.00,CT,Montréal,0.2168,2529,1253,1200,1240,180
4620035.00,CT,Montréal,0.182,2092,1187,1150,1180,120
4620036.00,CT,Montréal,0.1852,1929,1108,1080,965,170
4620037.00,CT,Montréal,0.5078,2848,1738,1685,1115,145
4620038.00,CT,Montréal,0.2152,1858,984,940,690,80
4620039.00,CT,Montréal,0.4719,1483,726,690,695,65
4620040.00,CT,Montréal,2.6328,0,0,0,x,x
4620041.00,CT,Montréal,0.2622,1607,990,965,895,180
4620042.00,CT,Montréal,0.1049,877,555,530,570,50
4620043.00,CT,Montréal,0.4115,892,512,475,535,95
4620044.00,CT,Montréal,0.1362,2118,1243,1180,1090,190
4620045.00,CT,Montréal,0.1175,1554,997,955,815,145
4620046.00,CT,Montréal,0.1604,1902,1161,1115,1045,160
4620047.00,CT,Montréal,0.1156,773,433,415,385,155
4620048.00,CT,Montréal,0.1399,2134,1224,1185,1340,160
4620049.00,CT,Montréal,0.164,1438,837,800,730,75
4620050.00,CT,Montréal,0.0711,1329,757,730,720,60
4620051.00,CT,Montréal,0.2168,1369,912,820,840,70
4620052.00,CT,Montréal,0.1399,2003,1188,1145,910,140
4620053.00,CT,Montréal,0.1028,1017,579,525,370,55
4620054.00,CT,Montréal,0.1541,1212,553,515,,
4620055.01,CT,Montréal,0.7092,2618,1892,1565,1775,105
4620055.02,CT,Montréal,1.3214,417,266,225,300,10
4620056.00,CT,Montréal,0.2881,1161,552,460,,
4620057.00,CT,Montréal,0.1447,879,263,250,100,15
4620058.00,CT,Montréal,0.1523,944,641,555,370,80
4620059.00,CT,Montréal,0.2024,1284,774,710,810,60
4620060.00,CT,Montréal,0.0902,1724,790,775,205,185
4620061.00,CT,Montréal,0.2161,434,310,260,260,30
4620062.00,CT,Montréal,0.8296,293,195,120,155,15
4620063.00,CT,Montréal,0.3618,354,258,185,175,10
4620064.00,CT,Montréal,0.2379,1279,670,540,,
4620065.01,CT,Montréal,0.1361,6095,4522,3985,2675,470
4620065.02,CT,Montréal,0.1475,2653,1913,1580,1350,200
4620066.01,CT,Montréal,0.2043,2858,1764,1470,1395,175
4620066.02,CT,Montréal,0.1541,2022,1619,1425,900,145
4620067.00,CT,Montréal,0.1763,1765,842,795,775,65
4620068.00,CT,Montréal,0.1913,2088,700,675,435,190
4620069.00,CT,Montréal,0.7051,1706,1028,880,1135,75
4620070.00,CT,Montréal,0.6222,527,466,320,400,10
4620071.00,CT,Montréal,0.4443,0,0,0,x,x
4620072.00,CT,Montréal,2.5825,3383,1794,1610,1315,240
4620073.00,CT,Montréal,0.3584,1065,658,590,385,60
4620074.00,CT,Montréal,0.3994,3644,1818,1640,1410,280
4620075.00,CT,Montréal,0.3128,2660,1347,1250,970,175
4620076.00,CT,Montréal,0.3762,2458,1273,1175,1010,180
4620077.00,CT,Montréal,0.4452,2289,1021,965,800,95
4620078.00,CT,Montréal,0.4048,3317,1751,1660,1575,175
4620079.00,CT,Montréal,0.6283,3815,2098,1920,1545,275
4620080.00,CT,Montréal,0.0904,743,428,380,545,0
4620081.00,CT,Montréal,0.2638,2294,1313,1190,1215,105
4620082.00,CT,Montréal,0.2732,2035,1060,945,795,160
4620083.00,CT,Montréal,0.45,3008,1602,1455,1380,200
4620084.00,CT,Montréal,0.3866,1668,833,750,505,85
4620085.00,CT,Montréal,1.2596,734,347,285,355,35
4620086.00,CT,Montréal,0.523,3724,2113,1910,1860,165
4620087.00,CT,Montréal,0.2615,3057,1456,1305,1310,175
4620088.00,CT,Montréal,0.3338,3704,1897,1835,1580,190
4620089.00,CT,Montréal,0.5139,4882,2443,2360,2395,220
4620090.00,CT,Montréal,0.4481,4442,2192,2140,2055,150
4620091.00,CT,Montréal,1.0616,0,0,0,x,x
4620092.00,CT,Montréal,0.5604,6442,2857,2795,2780,330
4620093.00,CT,Montréal,0.7725,3257,1591,1475,1520,185
4620094.01,CT,Montréal,1.7814,5672,2905,2735,2575,375
4620094.02,CT,Montréal,1.9562,0,0,0,x,x
4620095.00,CT,Montréal,0.2261,1877,1144,1070,1130,155
4620096.00,CT,Montréal,0.1863,2233,1103,1040,1265,120
4620097.01,CT,Montréal,0.3529,6040,3392,3215,2795,465
4620097.02,CT,Montréal,0.3929,3487,2022,1935,1490,285
4620098.00,CT,Montréal,1.0272,5372,2289,2190,2565,245
4620099.00,CT,Montréal,0.689,4206,2465,2080,1865,215
4620100.00,CT,Montréal,0.8131,7483,3487,3375,3250,430
4620101.01,CT,Montréal,0.3554,4165,1963,1885,1660,200
4620101.02,CT,Montréal,0.3634,4001,1663,1620,1565,210
4620102.00,CT,Montréal,0.5925,4137,2121,2055,2290,190
4620103.00,CT,Montréal,0.3394,2425,1101,1065,1460,45
4620104.00,CT,Montréal,0.3778,2908,1141,1130,1480,105
4620105.00,CT,Montréal,0.3063,3518,1693,1650,2110,140
4620106.00,CT,Montréal,0.225,1894,912,885,1150,30
4620107.00,CT,Montréal,0.1663,1357,819,730,720,150
4620108.00,CT,Montréal,0.5698,3900,1671,1565,1890,100
4620109.00,CT,Montréal,0.1755,2031,1098,1030,1145,115
4620110.00,CT,Montréal,0.2389,3805,2076,1975,1970,195
4620111.00,CT,Montréal,0.735,6737,3055,2920,3040,270
4620112.01,CT,Montréal,0.6427,5283,1768,1720,1880,270
4620112.02,CT,Montréal,0.2803,4431,2045,2005,1670,275
4620113.00,CT,Montréal,0.5027,5378,2255,2185,2555,345
4620114.00,CT,Montréal,0.286,2014,950,890,985,150
4620115.01,CT,Montréal,0.2186,2056,954,870,1065,75
4620115.02,CT,Montréal,0.4275,5997,3802,3635,2820,370
4620116.00,CT,Montréal,0.6399,7329,3246,3085,2905,380
4620117.00,CT,Montréal,0.2725,4704,1571,1540,1580,345
4620118.00,CT,Montréal,0.2975,4573,1603,1550,1925,270
4620119.00,CT,Montréal,0.5684,6707,2534,2465,2525,470
4620120.00,CT,Montréal,2.7841,3764,1648,1600,1750,215
4620121.00,CT,Montréal,0.3756,1679,702,690,850,60
4620122.00,CT,Montréal,0.6671,7213,3255,3105,2535,665
4620123.00,CT,Montréal,0.412,6553,3373,3200,2945,450
4620124.00,CT,Montréal,0.38,5951,2791,2660,2460,580
4620125.00,CT,Montréal,0.4677,6448,2851,2750,2600,255
4620126.00,CT,Montréal,0.7356,2089,1085,860,1020,115
4620127.01,CT,Montréal,0.4834,5372,3648,3265,2785,280
4620127.02,CT,Montréal,1.3274,0,9,0,x,x
4620128.00,CT,Montréal,3.016,3494,2038,1770,1910,100
4620129.01,CT,Montréal,0.2838,3897,2864,2330,2075,155
4620129.02,CT,Montréal,0.3628,3879,2965,2375,1955,240
4620130.00,CT,Montréal,0.1567,3196,2900,2140,1410,345
4620131.00,CT,Montréal,0.1024,3243,2789,2180,1675,190
4620132.00,CT,Montréal,0.2696,4711,3799,3115,2360,360
4620133.00,CT,Montréal,0.1465,2593,1716,1540,1535,150
4620134.00,CT,Montréal,0.0872,837,563,510,530,40
4620135.00,CT,Montréal,0.1204,1657,914,875,1055,85
4620136.00,CT,Montréal,0.1814,2895,1600,1525,1730,185
4620137.00,CT,Montréal,0.1851,1151,698,615,580,95
4620138.00,CT,Montréal,0.2822,1962,1150,1025,1260,70
4620139.00,CT,Montréal,0.2217,3033,1696,1630,1845,180
4620140.00,CT,Montréal,0.1169,1442,778,750,895,45
4620141.00,CT,Montréal,0.1219,1612,903,875,1030,85
4620142.00,CT,Montréal,0.1067,1654,967,930,1000,130
4620143.00,CT,Montréal,0.1721,2390,1550,1485,1325,75
4620144.00,CT,Montréal,0.1878,3343,2094,1985,2050,225
4620145.00,CT,Montréal,0.4397,0,0,0,x,x
4620146.00,CT,Montréal,0.1421,2362,1536,1480,1510,140
4620147.00,CT,Montréal,0.1678,2793,1628,1590,1770,155
4620148.00,CT,Montréal,0.1447,1245,498,480,700,25
4620149.00,CT,Montréal,0.1387,3322,1949,1885,2025,155
4620150.00,CT,Montréal,0.1659,2490,1441,1385,1375,275
4620151.00,CT,Montréal,0.1157,2112,1151,1120,1285,100
4620152.00,CT,Montréal,0.1378,1586,902,885,980,55
4620153.00,CT,Montréal,0.2781,872,492,460,455,95
4620154.00,CT,Montréal,0.126,577,353,345,375,20
4620155.00,CT,Montréal,0.1082,1823,1075,1040,1070,70
4620156.00,CT,Montréal,0.1393,1985,1166,1130,1215,80
4620157.00,CT,Montréal,0.1624,2038,1144,1115,1330,55
4620158.00,CT,Montréal,0.1412,2033,1323,1270,1190,105
4620159.00,CT,Montréal,0.1237,1926,1050,1020,1285,60
4620160.00,CT,Montréal,0.1217,1832,1113,1085,1025,145
4620161.00,CT,Montréal,0.1389,1927,1008,980,1075,145
4620162.00,CT,Montréal,0.0954,1638,947,910,1085,100
4620163.00,CT,Montréal,0.2023,3034,1509,1450,1935,155
4620164.00,CT,Montréal,0.0697,1655,1033,1000,1000,145
4620165.00,CT,Montréal,0.1482,2439,1208,1170,1340,180
4620166.00,CT,Montréal,0.232,416,226,215,215,45
4620167.00,CT,Montréal,0.2039,2452,1238,1185,1400,155
4620168.00,CT,Montréal,0.1685,2496,1084,1045,1415,85
4620169.00,CT,Montréal,0.1468,2303,1046,1025,1410,140
4620170.00,CT,Montréal,0.1559,2345,1119,1090,1180,140
4620171.00,CT,Montréal,0.4811,4336,2348,2295,2360,225
4620172.00,CT,Montréal,0.2013,1947,1318,1275,1250,255
4620173.00,CT,Montréal,0.1857,1580,993,945,1025,85
4620174.00,CT,Montréal,0.2291,1586,966,945,1045,50
4620175.00,CT,Montréal,0.1094,1659,962,945,1080,60
4620176.00,CT,Montréal,0.1228,1564,941,915,1190,40
4620177.00,CT,Montréal,0.0991,1324,750,720,785,45
4620178.00,CT,Montréal,0.2806,2364,1431,1410,1525,135
4620179.00,CT,Montréal,0.4946,3667,2183,2040,1905,285
4620180.00,CT,Montréal,0.2635,3499,1942,1830,1800,190
4620181.00,CT,Montréal,0.3306,3688,2070,1905,1830,255
4620182.00,CT,Montréal,0.1397,2141,1183,1105,1095,115
4620183.00,CT,Montréal,0.1322,2294,1232,1200,1110,130
4620184.00,CT,Montréal,0.2197,3033,1567,1520,1480,175
4620185.00,CT,Montréal,0.3966,5146,2882,2755,2430,275
4620186.00,CT,Montréal,0.3796,4301,2376,2260,1950,240
4620187.01,CT,Montréal,0.3652,2271,1310,1170,1110,65
4620187.02,CT,Montréal,1.1338,7601,4168,3945,4230,335
4620188.01,CT,Montréal,0.1456,2047,1169,1105,1150,135
4620188.02,CT,Montréal,0.2269,2328,1409,1310,1375,110
4620189.00,CT,Montréal,1.4764,0,0,0,x,x
4620190.01,CT,Montréal,0.4597,3447,1836,1785,1720,130
4620190.02,CT,Montréal,1.043,3430,1891,1850,1045,10
4620191.00,CT,Montréal,1.6789,6166,3070,2970,2965,185
4620192.00,CT,Montréal,0.7858,2810,935,920,1140,55
4620193.00,CT,Montréal,0.2674,1987,945,920,1040,70
4620194.00,CT,Montréal,1.1906,5265,2222,2170,2480,220
4620195.01,CT,Montréal,0.544,3580,1716,1685,1390,100
