GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA01_1670: Owner households in non-farm, non-reserve private dwellings","v_CA01_1666: Tenant households in non-farm, non-reserve private dwellings"
4620001.00,CT,Montréal,0.4583,2445,1226,1165,440,725
4620002.00,CT,Montréal,0.3865,2734,1339,1280,435,840
4620003.00,CT,Montréal,0.7392,6522,2945,2850,1105,1725
4620004.00,CT,Montréal,0.4516,3213,1575,1525,535,990
4620005.00,CT,Montréal,0.562,3171,1630,1565,465,1105
4620006.00,CT,Montréal,0.6476,4541,2081,2015,510,1500
4620007.00,CT,Montréal,1.0993,5699,2849,2780,1400,1360
4620008.00,CT,Montréal,0.6239,2957,1441,1385,660,720
4620009.00,CT,Montréal,4.27,3657,1669,1615,660,950
4620010.00,CT,Montréal,0.9323,1444,674,665,270,390
4620011.00,CT,Montréal,1.2497,4652,1981,1925,720,1205
4620012.01,CT,Montréal,0.236,2637,1329,1320,130,1195
4620012.02,CT,Montréal,0.3967,4206,2113,2080,195,1885
4620013.00,CT,Montréal,1.0834,4355,2395,2315,860,1450
4620014.01,CT,Montréal,0.9061,5876,3120,3050,690,2340
4620014.02,CT,Montréal,0.8819,0,9,0,x,x
4620015.00,CT,Montréal,0.3754,3421,1784,1710,190,1515
4620016.00,CT,Montréal,0.5188,2737,1230,1180,200,960
4620017.00,CT,Montréal,0.2233,2022,1015,995,150,860
4620018.00,CT,Montréal,0.3673,2158,1169,1150,120,1030
4620019.00,CT,Montréal,0.3367,2329,1252,1215,175,1030
4620021.00,CT,Montréal,0.44,3220,1637,1565,125,1430
4620022.00,CT,Montréal,0.1697,1752,838,815,90,710
4620023.00,CT,Montréal,0.3575,1135,582,575,40,535
4620024.00,CT,Montréal,0.2739,2621,1368,1330,130,1205
4620025.00,CT,Montréal,0.2247,2919,1344,1310,210,1095
4620026.00,CT,Montréal,0.1729,1981,1120,1075,115,950
4620027.00,CT,Montréal,0.0949,1807,967,920,70,840
4620028.00,CT,Montréal,0.155,2158,1182,1165,150,1020
4620029.00,CT,Montréal,0.3976,3807,2010,1960,320,1635
4620030.00,CT,Montréal,0.2993,3360,1814,1770,285,1465
4620031.00,CT,Montréal,0.2523,2782,1550,1520,305,1210
4620032.00,CT,Montréal,0.127,1457,965,875,140,725
4620033.00,CT,Montréal,0.1575,1893,992,950,155,770
4620034.00,CT,Montréal,0.2168,2529,1253,1200,275,920
4620035.00,CT,Montréal,0.182,2092,1187,1150,135,1015
4620036.00,CT,Montréal,0.1852,1929,1108,1080,115,960
4620037.00,CT,Montréal,0.5078,2848,1738,1685,105,1575
4620038.00,CT,Montréal,0.2152,1858,984,940,125,820
4620039.00,CT,Montréal,0.4719,1483,726,690,50,635
4620040.00,CT,Montréal,2.6328,0,0,0,x,x
4620041.00,CT,Montréal,0.2622,1607,990,965,60,905
4620042.00,CT,Montréal,0.1049,877,555,530,130,400
4620043.00,CT,Montréal,0.4115,892,512,475,110,360
4620044.00,CT,Montréal,0.1362,2118,1243,1180,180,995
4620045.00,CT,Montréal,0.1175,1554,997,955,115,845
4620046.00,CT,Montréal,0.1604,1902,1161,1115,195,920
4620047.00,CT,Montréal,0.1156,773,433,415,70,335
4620048.00,CT,Montréal,0.1399,2134,1224,1185,135,1055
4620049.00,CT,Montréal,0.164,1438,837,800,135,660
4620050.00,CT,Montréal,0.0711,1329,757,730,115,615
4620051.00,CT,Montréal,0.2168,1369,912,820,140,665
4620052.00,CT,Montréal,0.1399,2003,1188,1145,145,995
4620053.00,CT,Montréal,0.1028,1017,579,525,80,445
4620054.00,CT,Montréal,0.1541,1212,553,515,,
4620055.01,CT,Montréal,0.7092,2618,1892,1565,775,780
4620055.02,CT,Montréal,1.3214,417,266,225,155,65
4620056.00,CT,Montréal,0.2881,1161,552,460,,
4620057.00,CT,Montréal,0.1447,879,263,250,25,220
4620058.00,CT,Montréal,0.1523,944,641,555,75,465
4620059.00,CT,Montréal,0.2024,1284,774,710,190,515
4620060.00,CT,Montréal,0.0902,1724,790,775,25,755
4620061.00,CT,Montréal,0.2161,434,310,260,90,165
4620062.00,CT,Montréal,0.8296,293,195,120,30,90
4620063.00,CT,Montréal,0.3618,354,258,185,30,150
4620064.00,CT,Montréal,0.2379,1279,670,540,,
4620065.01,CT,Montréal,0.1361,6095,4522,3985,120,3640
4620065.02,CT,Montréal,0.1475,2653,1913,1580,45,1420
4620066.01,CT,Montréal,0.2043,2858,1764,1470,240,1195
4620066.02,CT,Montréal,0.1541,2022,1619,1425,95,1325
4620067.00,CT,Montréal,0.1763,1765,842,795,275,525
4620068.00,CT,Montréal,0.1913,2088,700,675,30,645
4620069.00,CT,Montréal,0.7051,1706,1028,880,530,345
4620070.00,CT,Montréal,0.6222,527,466,320,170,155
4620071.00,CT,Montréal,0.4443,0,0,0,x,x
4620072.00,CT,Montréal,2.5825,3383,1794,1610,470,1125
4620073.00,CT,Montréal,0.3584,1065,658,590,95,475
4620074.00,CT,Montréal,0.3994,3644,1818,1640,495,1135
4620075.00,CT,Montréal,0.3128,2660,1347,1250,185,1060
4620076.00,CT,Montréal,0.3762,2458,1273,1175,205,970
4620077.00,CT,Montréal,0.4452,2289,1021,965,295,665
4620078.00,CT,Montréal,0.4048,3317,1751,1660,710,940
4620079.00,CT,Montréal,0.6283,3815,2098,1920,240,1665
4620080.00,CT,Montréal,0.0904,743,428,380,60,320
4620081.00,CT,Montréal,0.2638,2294,1313,1190,160,1010
4620082.00,CT,Montréal,0.2732,2035,1060,945,75,875
4620083.00,CT,Montréal,0.45,3008,1602,1455,240,1215
4620084.00,CT,Montréal,0.3866,1668,833,750,145,605
4620085.00,CT,Montréal,1.2596,734,347,285,65,220
4620086.00,CT,Montréal,0.523,3724,2113,1910,600,1310
4620087.00,CT,Montréal,0.2615,3057,1456,1305,290,1010
4620088.00,CT,Montréal,0.3338,3704,1897,1835,490,1345
