GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data",v_CA06_1242: University certificate or degree,"v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data",v_CA06_1270: University certificate or degree
4620001.00,CT,Montréal,0.45831,2498,1306,1243,275.00,1510.00,10.00,370.00,20.00
4620002.00,CT,Montréal,0.38654,2819,1399,1343,360.00,1565.00,0.00,465.00,25.00
4620003.00,CT,Montréal,0.7392,6407,2969,2884,785.00,3695.00,40.00,940.00,15.00
4620004.00,CT,Montréal,0.45157,3223,1627,1559,400.00,1840.00,20.00,525.00,0.00
4620005.00,CT,Montréal,0.56196,3188,1664,1601,355.00,1805.00,20.00,525.00,10.00
4620006.00,CT,Montréal,0.6476,4568,2092,2013,635.00,2565.00,0.00,465.00,10.00
4620007.00,CT,Montréal,1.09934,5712,2894,2807,655.00,3265.00,30.00,1010.00,30.00
4620008.00,CT,Montréal,0.62386,2973,1467,1424,400.00,1725.00,0.00,410.00,30.00
4620009.00,CT,Montréal,4.27007,3554,1696,1643,470.00,2135.00,25.00,455.00,25.00
4620010.00,CT,Montréal,0.93219,1351,669,643,135.00,820.00,0.00,195.00,15.00
4620011.00,CT,Montréal,1.24971,5160,2246,2172,440.00,2520.00,25.00,830.00,35.00
4620012.01,CT,Montréal,0.23605,2494,1337,1305,315.00,1400.00,25.00,450.00,0.00
4620012.02,CT,Montréal,0.39672,4018,2124,2054,560.00,2195.00,20.00,660.00,15.00
4620013.00,CT,Montréal,1.08425,4427,2457,2365,480.00,2630.00,20.00,765.00,75.00
4620014.01,CT,Montréal,0.90619,6181,3317,3175,840.00,3825.00,65.00,625.00,30.00
4620014.02,CT,Montréal,0.88105,17,10,8,x,x,x,x,x
4620015.00,CT,Montréal,0.37537,3522,1874,1794,525.00,2155.00,15.00,260.00,0.00
4620016.00,CT,Montréal,0.51879,2569,1244,1163,355.00,1460.00,15.00,150.00,0.00
4620017.00,CT,Montréal,0.22322,1888,1072,1037,245.00,1135.00,45.00,205.00,15.00
4620018.00,CT,Montréal,0.36725,2148,1197,1141,350.00,1370.00,10.00,185.00,0.00
4620019.00,CT,Montréal,0.33668,2350,1350,1270,325.00,1420.00,20.00,305.00,15.00
4620021.00,CT,Montréal,0.44006,3243,1644,1569,570.00,1895.00,50.00,300.00,0.00
4620022.00,CT,Montréal,0.16973,1663,832,793,245.00,1020.00,15.00,145.00,0.00
4620023.00,CT,Montréal,0.3575,1249,682,647,180.00,800.00,0.00,80.00,0.00
