GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings"
4620001.00,CT,Montréal,0.45831,2498,1306,1243,525.00,720.00
4620002.00,CT,Montréal,0.38654,2819,1399,1343,555.00,785.00
4620003.00,CT,Montréal,0.7392,6407,2969,2884,1230.00,1655.00
4620004.00,CT,Montréal,0.45157,3223,1627,1559,615.00,940.00
4620005.00,CT,Montréal,0.56196,3188,1664,1601,535.00,1060.00
4620006.00,CT,Montréal,0.6476,4568,2092,2013,485.00,1525.00
4620007.00,CT,Montréal,1.09934,5712,2894,2807,1420.00,1380.00
4620008.00,CT,Montréal,0.62386,2973,1467,1424,750.00,680.00
4620009.00,CT,Montréal,4.27007,3554,1696,1643,665.00,980.00
4620010.00,CT,Montréal,0.93219,1351,669,643,275.00,365.00
4620011.00,CT,Montréal,1.24971,5160,2246,2172,1000.00,1170.00
4620012.01,CT,Montréal,0.23605,2494,1337,1305,120.00,1185.00
4620012.02,CT,Montréal,0.39672,4018,2124,2054,260.00,1795.00
4620013.00,CT,Montréal,1.08425,4427,2457,2365,850.00,1515.00
4620014.01,CT,Montréal,0.90619,6181,3317,3175,965.00,2215.00
4620014.02,CT,Montréal,0.88105,17,10,8,x,x
4620015.00,CT,Montréal,0.37537,3522,1874,1794,200.00,1595.00
4620016.00,CT,Montréal,0.51879,2569,1244,1163,190.00,975.00
4620017.00,CT,Montréal,0.22322,1888,1072,1037,255.00,785.00
4620018.00,CT,Montréal,0.36725,2148,1197,1141,150.00,990.00
4620019.00,CT,Montréal,0.33668,2350,1350,1270,225.00,1045.00
4620021.00,CT,Montréal,0.44006,3243,1644,1569,195.00,1375.00
4620022.00,CT,Montréal,0.16973,1663,832,793,135.00,665.00
4620023.00,CT,Montréal,0.3575,1249,682,647,125.00,525.00
4620024.00,CT,Montréal,0.27387,2577,1416,1357,210.00,1145.00
4620025.00,CT,Montréal,0.22474,2884,1429,1326,255.00,1070.00
4620026.00,CT,Montréal,0.17289,2181,1232,1178,190.00,985.00
4620027.00,CT,Montréal,0.09487,1806,967,913,100.00,820.00
4620028.00,CT,Montréal,0.15496,2070,1171,1123,175.00,940.00
4620029.00,CT,Montréal,0.39757,3802,2050,1970,365.00,1605.00
4620030.00,CT,Montréal,0.29932,3348,1960,1876,350.00,1520.00
4620031.00,CT,Montréal,0.25232,2677,1574,1491,360.00,1130.00
4620032.00,CT,Montréal,0.12692,1520,964,905,175.00,730.00
4620033.00,CT,Montréal,0.15745,1878,1018,957,250.00,710.00
4620034.00,CT,Montréal,0.21681,2463,1291,1216,270.00,945.00
4620035.00,CT,Montréal,0.18205,2013,1188,1141,135.00,1005.00
4620036.00,CT,Montréal,0.18516,2006,1183,1125,165.00,955.00
4620037.00,CT,Montréal,0.50783,2992,1836,1762,235.00,1520.00
4620038.00,CT,Montréal,0.21521,1960,1050,1000,165.00,835.00
4620039.00,CT,Montréal,0.47191,1499,757,710,80.00,630.00
4620040.00,CT,Montréal,2.63314,0,0,0,x,x
4620041.00,CT,Montréal,0.26224,1669,1033,955,90.00,870.00
4620042.00,CT,Montréal,0.10486,886,569,533,135.00,400.00
4620043.00,CT,Montréal,0.34392,902,542,504,-,-
4620044.00,CT,Montréal,0.13623,2068,1262,1171,310.00,860.00
4620045.00,CT,Montréal,0.11753,1492,999,927,125.00,800.00
4620046.00,CT,Montréal,0.16039,2010,1171,1094,235.00,860.00
4620047.00,CT,Montréal,0.11563,695,403,376,95.00,285.00
4620048.00,CT,Montréal,0.13992,2133,1225,1173,155.00,1015.00
4620049.00,CT,Montréal,0.16404,1373,917,851,165.00,685.00
4620050.00,CT,Montréal,0.07109,1372,760,727,100.00,625.00
4620051.00,CT,Montréal,0.21677,1536,927,826,205.00,620.00
4620052.00,CT,Montréal,0.13986,1964,1157,1070,145.00,925.00
4620053.00,CT,Montréal,0.10278,736,567,521,85.00,435.00
4620054.00,CT,Montréal,0.15407,1390,643,555,-,-
4620055.01,CT,Montréal,0.70896,3720,2548,2063,1170.00,890.00
4620055.02,CT,Montréal,1.40373,584,545,291,265.00,25.00
4620056.00,CT,Montréal,0.2881,1482,679,618,100.00,520.00
4620057.00,CT,Montréal,0.14468,1399,692,410,x,x
4620058.00,CT,Montréal,0.15228,963,643,598,120.00,475.00
4620059.00,CT,Montréal,0.20241,1324,856,753,235.00,515.00
4620060.00,CT,Montréal,0.09016,1715,789,778,10.00,770.00
4620061.00,CT,Montréal,0.2161,534,350,296,90.00,205.00
4620062.00,CT,Montréal,0.82956,777,501,292,195.00,95.00
4620063.00,CT,Montréal,0.3618,441,251,216,15.00,205.00
4620064.00,CT,Montréal,0.23795,1175,989,672,15.00,655.00
4620065.01,CT,Montréal,0.13615,6171,4728,3833,140.00,3695.00
4620065.02,CT,Montréal,0.14746,2581,1868,1488,75.00,1415.00
4620066.01,CT,Montréal,0.20423,2579,1852,1457,370.00,1085.00
4620066.02,CT,Montréal,0.15411,2017,1424,1188,85.00,1105.00
4620067.00,CT,Montréal,0.17633,1873,870,819,285.00,535.00
4620068.00,CT,Montréal,0.19137,2135,731,695,60.00,635.00
4620069.00,CT,Montréal,0.69358,2686,1612,1427,1005.00,420.00
4620070.00,CT,Montréal,0.62217,1146,824,669,385.00,280.00
4620071.00,CT,Montréal,0.41141,0,0,0,x,x
4620072.00,CT,Montréal,2.58326,3550,1810,1712,370.00,1340.00
4620073.00,CT,Montréal,0.33274,1323,788,699,240.00,465.00
4620074.00,CT,Montréal,0.39779,3729,1858,1722,495.00,1230.00
4620075.00,CT,Montréal,0.31256,2704,1364,1289,195.00,1095.00
4620076.00,CT,Montréal,0.3509,2623,1342,1252,245.00,1005.00
4620077.00,CT,Montréal,0.41852,2461,1052,1015,355.00,660.00
4620078.00,CT,Montréal,0.38515,3755,2051,1928,805.00,1120.00
4620079.00,CT,Montréal,0.60619,4446,2481,2289,470.00,1815.00
4620080.00,CT,Montréal,0.09043,775,436,410,55.00,350.00
4620081.00,CT,Montréal,0.26371,2459,1345,1271,160.00,1110.00
4620082.00,CT,Montréal,0.27322,2113,1072,1013,60.00,955.00
4620083.00,CT,Montréal,0.42903,3120,1613,1533,440.00,1090.00
4620084.00,CT,Montréal,0.37043,1889,903,840,165.00,675.00
4620085.00,CT,Montréal,1.18434,847,385,355,95.00,260.00
4620086.00,CT,Montréal,0.52301,4005,2149,2072,660.00,1410.00
4620087.00,CT,Montréal,0.2557,3183,1503,1411,365.00,1045.00
4620088.00,CT,Montréal,0.33379,3613,1949,1871,550.00,1320.00
4620089.00,CT,Montréal,0.51392,4777,2468,2358,910.00,1445.00
4620090.00,CT,Montréal,0.44807,4376,2177,2102,740.00,1365.00
4620091.00,CT,Montréal,1.06156,0,0,0,x,x
4620092.00,CT,Montréal,0.56037,6223,2898,2808,990.00,1815.00
4620093.00,CT,Montréal,0.73459,3392,1628,1556,540.00,1020.00
4620094.01,CT,Montréal,1.7813,5962,3022,2816,505.00,2315.00
4620094.02,CT,Montréal,1.88081,15,8,6,x,x
4620095.00,CT,Montréal,0.22608,2177,1230,1120,155.00,960.00
4620096.00,CT,Montréal,0.18641,2145,1116,1036,350.00,680.00
4620097.01,CT,Montréal,0.35291,6285,3458,3286,510.00,2775.00
4620097.02,CT,Montréal,0.39294,3644,2028,1894,170.00,1720.00
4620098.00,CT,Montréal,1.02722,5511,2473,2307,1285.00,1020.00
4620099.00,CT,Montréal,0.68903,4761,2431,2324,890.00,1435.00
4620100.00,CT,Montréal,0.81307,7618,3637,3373,1090.00,2280.00
4620101.01,CT,Montréal,0.35543,4262,1953,1858,635.00,1220.00
4620101.02,CT,Montréal,0.36341,3953,1685,1586,340.00,1250.00
4620102.00,CT,Montréal,0.59248,4051,2149,1962,815.00,1145.00
4620103.00,CT,Montréal,0.33938,2412,1101,1070,600.00,470.00
4620104.00,CT,Montréal,0.37777,2738,1138,1093,730.00,360.00
4620105.00,CT,Montréal,0.3063,3274,1703,1556,675.00,880.00
4620106.00,CT,Montréal,0.22501,1943,935,894,335.00,560.00
4620107.00,CT,Montréal,0.16625,1369,826,742,190.00,550.00
4620108.00,CT,Montréal,0.56976,3969,1849,1557,765.00,795.00
4620109.00,CT,Montréal,0.17553,2031,1107,1010,230.00,770.00
4620110.00,CT,Montréal,0.23887,3866,2059,1956,205.00,1750.00
4620111.00,CT,Montréal,0.73497,6581,3027,2816,1215.00,1595.00
4620112.01,CT,Montréal,0.64273,5215,1770,1692,485.00,1205.00
4620112.02,CT,Montréal,0.28029,4394,2106,2010,190.00,1820.00
4620113.00,CT,Montréal,0.5027,5130,2259,2136,500.00,1630.00
4620114.00,CT,Montréal,0.28598,2049,960,879,305.00,580.00
4620115.01,CT,Montréal,0.21858,2011,967,843,370.00,475.00
4620115.02,CT,Montréal,0.42737,5891,3799,3478,155.00,3320.00
4620116.00,CT,Montréal,0.63992,7194,3240,3045,395.00,2650.00
4620117.00,CT,Montréal,0.27245,4504,1574,1521,225.00,1290.00
4620118.00,CT,Montréal,0.29853,4429,1642,1567,385.00,1180.00
4620119.00,CT,Montréal,0.56733,6649,2571,2469,360.00,2105.00
4620120.00,CT,Montréal,2.78411,3916,1757,1645,665.00,980.00
4620121.00,CT,Montréal,0.37562,1753,708,692,395.00,295.00
4620122.00,CT,Montréal,0.66705,7185,3321,3149,110.00,3035.00
4620123.00,CT,Montréal,0.41197,6543,3449,3181,240.00,2945.00
4620124.00,CT,Montréal,0.37997,5884,2795,2618,235.00,2385.00
4620125.00,CT,Montréal,0.4677,6359,2895,2689,1110.00,1575.00
4620126.00,CT,Montréal,0.73564,2029,1078,885,290.00,595.00
4620127.01,CT,Montréal,0.48342,5561,3682,3298,365.00,2935.00
4620127.02,CT,Montréal,1.32742,5,4,3,x,x
4620128.00,CT,Montréal,3.01604,3645,2068,1804,960.00,845.00
4620129.01,CT,Montréal,0.28381,4039,2877,2353,765.00,1590.00
4620129.02,CT,Montréal,0.36278,3815,2946,2332,335.00,1995.00
4620130.00,CT,Montréal,0.15672,3266,2874,2036,-,-
4620131.00,CT,Montréal,0.1024,3457,2727,2134,175.00,1955.00
4620132.00,CT,Montréal,0.2698,4992,3849,3059,330.00,2730.00
4620133.00,CT,Montréal,0.14636,2414,1719,1477,295.00,1180.00
4620134.00,CT,Montréal,0.08719,835,575,497,200.00,300.00
4620135.00,CT,Montréal,0.12042,1675,986,912,355.00,560.00
4620136.00,CT,Montréal,0.18142,2740,1616,1469,475.00,990.00
4620137.00,CT,Montréal,0.18509,1122,713,606,120.00,480.00
4620138.00,CT,Montréal,0.28223,2039,1168,1053,355.00,700.00
4620139.00,CT,Montréal,0.22172,3123,1841,1671,655.00,1015.00
4620140.00,CT,Montréal,0.11688,1398,748,714,340.00,375.00
4620141.00,CT,Montréal,0.12192,1580,902,852,390.00,460.00
4620142.00,CT,Montréal,0.10667,1595,966,889,335.00,555.00
4620143.00,CT,Montréal,0.17205,2339,1596,1485,260.00,1225.00
4620144.00,CT,Montréal,0.1878,3372,2186,2021,555.00,1460.00
4620145.00,CT,Montréal,0.43966,0,0,0,x,x
4620146.00,CT,Montréal,0.14211,2293,1547,1432,385.00,1045.00
4620147.00,CT,Montréal,0.16782,2736,1626,1530,300.00,1235.00
4620148.00,CT,Montréal,0.14474,1225,512,486,175.00,305.00
4620149.00,CT,Montréal,0.13874,3312,1931,1819,555.00,1265.00
4620150.00,CT,Montréal,0.16591,2450,1469,1371,285.00,1090.00
4620151.00,CT,Montréal,0.11575,2106,1174,1119,290.00,825.00
4620152.00,CT,Montréal,0.13782,1504,907,859,160.00,700.00
