GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data"
4620001.00,CT,Montréal,0.46188,2638,1452,1328,640,700
4620002.00,CT,Montréal,0.38927,3516,1902,1762,720,1045
4620003.00,CT,Montréal,0.7401,6373,3103,2937,1165,1770
4620004.00,CT,Montréal,0.44828,3176,1704,1603,590,1010
4620005.00,CT,Montréal,0.56464,3060,1749,1593,575,1005
4620006.00,CT,Montréal,0.64815,4467,2149,1993,525,1445
4620007.00,CT,Montréal,1.09059,5682,2946,2809,1445,1360
4620008.00,CT,Montréal,0.6229,3016,1586,1465,785,705
4620009.00,CT,Montréal,4.26975,3470,1770,1640,695,975
4620010.00,CT,Montréal,0.92115,1479,754,701,260,440
4620011.00,CT,Montréal,1.24911,6622,2898,2826,1420,1400
4620012.01,CT,Montréal,0.23776,2502,1370,1315,130,1175
4620012.02,CT,Montréal,0.39639,4034,2175,2016,230,1795
4620013.00,CT,Montréal,1.08415,5166,2904,2704,1055,1705
4620014.01,CT,Montréal,0.90072,7545,4302,4090,1630,2460
4620014.02,CT,Montréal,0.87177,0,4,1,x,x
4620015.00,CT,Montréal,0.37692,4103,2339,2206,660,1540
4620016.00,CT,Montréal,0.51911,2539,1315,1174,280,870
4620017.00,CT,Montréal,0.22436,2141,1237,1187,355,800
4620018.00,CT,Montréal,0.36776,2004,1219,1136,215,900
4620019.00,CT,Montréal,0.33256,2340,1434,1296,325,1020
4620021.00,CT,Montréal,0.44307,2891,1676,1433,195,1255
4620022.00,CT,Montréal,0.17097,1550,870,798,190,565
4620023.00,CT,Montréal,0.3583,1282,719,686,140,535
4620024.00,CT,Montréal,0.2761,2647,1509,1446,270,1195
4620025.00,CT,Montréal,0.22328,3016,1650,1511,335,1120
4620026.00,CT,Montréal,0.17478,2581,1589,1498,460,1045
4620027.00,CT,Montréal,0.09496,1650,982,923,185,750
4620028.00,CT,Montréal,0.1577,2077,1218,1152,240,945
