GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_5817: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households",v_CA21_5847: Bachelor's degree or higher,"v_CA21_5865: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households",v_CA21_5895: Bachelor's degree or higher
4620001.00,CT,0001.00,0.4643,2684,1463,1402,2200,460,1560,415
4620002.00,CT,0002.00,0.3858,3780,2022,1944,3120,545,2175,480
4620003.00,CT,0003.00,0.7401,6600,3174,3016,5495,925,3675,815
4620004.00,CT,0004.00,0.447,3355,1744,1646,2730,590,1850,455
4620005.00,CT,0005.00,0.5652,3175,1774,1636,2755,535,1890,455
4620006.00,CT,0006.00,0.646,4611,2162,2045,3685,695,2565,615
4620007.00,CT,0007.00,1.0901,5655,2997,2867,4850,1315,3265,1055
4620008.00,CT,0008.00,0.6213,3104,1605,1532,2610,590,1825,525
4620009.00,CT,0009.00,4.2912,3554,1807,1702,2930,585,2045,520
4620010.00,CT,0010.00,0.9271,1494,781,742,1250,245,890,230
4620011.00,CT,0011.00,1.2491,6439,2953,2830,4850,1500,3285,1290
4620012.01,CT,0012.01,0.2378,2547,1343,1285,2100,425,1405,375
4620012.02,CT,0012.02,0.3964,4163,2182,2069,3385,835,2220,725
4620013.00,CT,0013.00,1.084,5694,3239,3014,4675,1525,3115,1195
4620014.02,CT,0014.02,0.872,0,0,0,,,,
4620014.03,CT,0014.03,0.4106,3363,1861,1778,2825,1085,2125,935
4620014.04,CT,0014.04,0.4901,4187,2591,2415,3695,1625,2915,1470
4620015.00,CT,0015.00,0.3727,4089,2373,2235,3550,1170,2805,1075
4620016.00,CT,0016.00,0.5129,2470,1317,1214,1935,610,1520,570
4620017.00,CT,0017.00,0.2242,2131,1235,1183,1850,610,1455,565
4620018.00,CT,0018.00,0.3673,2013,1203,1142,1760,645,1375,575
4620019.00,CT,0019.00,0.3318,2398,1454,1340,2060,655,1505,585
4620021.00,CT,0021.00,0.4497,3028,1734,1578,2645,690,2005,625
4620022.00,CT,0022.00,0.1704,1527,914,849,1350,405,1100,360
4620023.00,CT,0023.00,0.361,1238,725,676,1095,345,865,330
4620024.00,CT,0024.00,0.2777,2544,1474,1395,2265,730,1755,675
4620025.00,CT,0025.00,0.2233,3018,1646,1530,2510,865,1970,805
4620026.00,CT,0026.00,0.1748,2519,1604,1511,2315,880,1825,820
4620027.00,CT,0027.00,0.095,1629,992,921,1425,610,1140,595
4620028.00,CT,0028.00,0.1572,2058,1217,1159,1795,765,1455,700
4620029.00,CT,0029.00,0.4016,4027,2224,2115,3415,1260,2615,1165
4620030.00,CT,0030.00,0.3017,3506,2215,2064,3085,1235,2320,1130
4620031.00,CT,0031.00,0.2574,2803,1648,1558,2480,1090,1875,940
4620032.00,CT,0032.00,0.1229,1497,1043,951,1350,645,1090,585
4620033.00,CT,0033.00,0.1533,1752,1053,977,1595,615,1220,530
4620034.00,CT,0034.00,0.2141,2825,1653,1525,2510,945,1940,850
4620035.00,CT,0035.00,0.1815,2015,1198,1139,1815,760,1390,650
4620036.00,CT,0036.00,0.1857,2103,1297,1208,1820,845,1460,760
4620037.00,CT,0037.00,0.5,3452,2271,2144,3125,1060,2025,890
4620038.00,CT,0038.00,0.2104,1976,1054,957,1715,590,1235,520
4620039.00,CT,0039.00,0.4738,2142,1424,1311,2130,900,1710,800
