GeoUID_2001,Area (sq km)_2001,Population_2001,Dwellings_2001,Households_2001,Total male population_2001,Total female population_2001,Population change (%)_2001,Never married_2001,Divorced_2001,Widowed_2001,Movers_2001,Non-movers_2001,Canadian citizens_2001,Migrants_2001,Non-migrants_2001,Internal migrants_2001,External migrants_2001,Visible minority_2001,Non-visible minority_2001,Non-Canadian citizens_2001,Non-immigrants_2001,Immigrants_2001,Non-permanent residents_2001,Married couples_2001,Common-law couples_2001,Owned housing_2001,Rented housing_2001,Median household income $_2001,High school or Secondary degree_2001,College or CEGEP degree_2001,"Trades certificate, diploma or apprenticeship_2001",Apartment with fewer than five stories_2001,Apartment with five or more storeys_2001,Row house_2001,Single-detached house_2001,Semi-detached house_2001,Movable dwelling_2001,Other single-attached house_2001,Major repairs_2001,Band housing_2001,English only_2001,French only_2001,Allophone _2001,Average gross rent ($)_2001,Average value dwelling ($)_2001,English and French_2001,English and non-official language(s)_2001,French and non-official language(s)_2001,"English, French, and non-official language(s)_2001",Employed_2001,Unemployed_2001,Population 0 to 9_2001,Population 10 to 19_2001,Population 20 to 29_2001,Population 30 to 39_2001,Population 40 to 49_2001,Population 50 to 59_2001,Population 60 plus_2001,No certificate or diploma_2001,Regular maintenance_2001,Public transit_2001,Walked_2001,Bicycle_2001,Transportation other methods_2001,Transportation vehicle driver_2001,Transportation vehicle non-driver_2001,Bachelors degree or higher_2001
4620001.0,0.4583,2445,1226,1165,1185,1265,2.4,965,270,165,215,2180,2405,35,185,30,0,10,2395,0,2315,90,0,320,170,440,725,35290,350,235,290,1025,0,40,40,15,0,15,110,0,30,2260,95,554,107148,20,0,10,0,1180,65,60507060,45556560,55809070,808010595,11513095115,100959080,70704565457030501530515,40010055,780275,120195,030,3010,000000,430265,1030,70
4620002.0,0.3865,2734,1339,1280,1280,1450,-2.8,995,285,215,415,2275,2710,90,325,90,0,130,2595,15,2550,175,0,355,225,435,840,29350,325,195,270,690,70,140,130,20,0,10,105,0,20,2470,190,528,107098,10,0,15,15,1250,130,60459080,75757085,85907575,9510011595,100125110130,90807080,60856095657040852040015,40512585,895285,180215,1035,150,000000,445260,1030,95
4620003.0,0.7392,6522,2945,2850,3055,3470,-0.1,2255,675,395,935,5435,6330,265,665,265,0,370,6065,105,5605,800,25,985,465,1105,1745,37964,975,730,510,2250,0,135,235,95,0,15,200,0,205,5215,930,541,139439,35,20,35,0,3030,280,160145175195,195185185200,215215190220,180220270280,285300265300,215260200230,1351751401851201657011035551540,805310270,1930715,300540,25130,100,0100000,1085745,3050,350
4620004.0,0.4516,3213,1575,1525,1505,1705,2.7,1180,355,285,455,2655,3065,80,380,50,25,120,3000,55,2925,195,0,425,225,530,990,36555,505,360,395,840,0,110,185,25,0,85,95,0,105,2800,165,533,129464,20,0,30,0,1505,115,60507585,85859075,951009595,9090120135,170165120135,11514585100,709565907090559035501040,335105110,1050375,160270,2060,100,000000,495375,3015,195
4620005.0,0.562,3171,1630,1565,1520,1655,-1.4,1200,425,255,590,2455,3050,190,400,180,15,45,3025,20,2965,95,15,385,255,460,1105,31308,500,360,230,1320,0,20,60,35,0,15,125,0,40,2900,100,504,120973,25,0,0,0,1535,120,55556590,75758570,95909095,10085135110,145150140140,120150120105,65857510075100659010451015,360130145,1045395,210300,3535,2510,000000,520295,2555,210
4620006.0,0.6476,4541,2081,2015,2145,2395,3.7,1875,450,210,1080,3360,4300,280,795,235,45,345,4130,175,4065,340,70,510,370,510,1500,32647,640,430,400,1810,5,30,65,45,0,45,160,0,150,3910,330,504,132531,25,20,35,0,2045,230,130155160135,135120125165,190200150180,170170190190,180200155185,135160105145,1051058595709030552025515,695250155,1330520,315360,3575,2010,0000200,655420,1555,265
4620007.0,1.0993,5699,2849,2780,2595,3105,0.4,2025,620,395,765,4820,5430,215,545,130,85,550,5110,225,4970,665,25,860,445,1400,1375,32952,915,765,370,1160,135,245,630,50,0,25,195,0,185,4735,670,481,115460,35,10,20,10,2670,320,120110125150,120125140150,170215150175,175165220215,230270215260,195240170210,13018015021511516510016055752040,645250315,1800775,395655,65140,200,0000010,725480,2555,555
4620008.0,0.6239,2957,1441,1385,1425,1530,-0.3,1125,305,180,415,2475,2935,145,270,140,10,125,2815,10,2830,115,10,395,260,665,720,39903,420,420,265,700,30,100,150,170,0,10,115,0,65,2790,85,502,111571,0,0,0,0,1535,110,65658585,85857565,80959075,9090130125,140160155130,10512075100,706555656065307030451520,270200125,855420,155195,1525,100,10000010,590455,035,320
4620009.0,4.27,3657,1669,1615,1805,1855,-3.9,1485,340,215,510,3070,3465,125,385,120,0,265,3350,150,3335,210,70,465,325,660,955,33258,540,410,375,1300,0,10,205,25,0,15,205,0,90,3160,340,499,107901,10,0,15,0,1735,170,907011595,11011590115,145120120130,150115175155,145180155150,120110110125,607575756570507020501025,45520075,840565,220320,4055,1510,00001010,595405,2530,160
4620010.0,0.9323,1444,674,665,755,685,1.8,590,145,90,315,1120,1425,65,250,60,0,10,1425,10,1380,50,0,190,100,270,395,37026,295,105,155,515,0,20,45,10,0,15,80,0,20,1360,40,554,114200,10,10,0,0,665,50,35354040,35154025,60504545,65506555,70655550,55555045,40403035353520301010510,1756040,400185,90120,4520,300,0010000,210130,00,65
