GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1627: Median household income $
4620001.00,CT,Montréal,0.384874818879366,2388,1096,1095,31045
4620002.00,CT,Montréal,0.387070900762141,2812,1265,1260,28694
4620003.00,CT,Montréal,0.733714301348805,6527,2721,2720,33312
4620004.00,CT,Montréal,0.445990908161044,3130,1491,1485,28781
4620005.00,CT,Montréal,0.506877701813102,3217,1529,1525,30716
4620006.00,CT,Montréal,0.553454136312962,4380,1834,1830,28300
4620007.00,CT,Montréal,1.08202468572094,5675,2701,2695,31510
4620008.00,CT,Montréal,0.569436370671242,2966,1375,1375,34763
4620009.00,CT,Montréal,4.08359024536724,3806,1674,1670,31576
4620010.00,CT,Montréal,0.835976612869263,1418,632,635,27884
4620011.00,CT,Montréal,1.2380207774234,4935,1850,1845,30342
4620012.01,CT,Montréal,0.237012311817646,2616,1276,1275,21301
4620012.02,CT,Montréal,0.396859662475348,4141,1982,1970,24275
4620013.00,CT,Montréal,1.08556843292165,4473,2293,2285,26297
4620014.01,CT,Montréal,0.906944403419733,5256,2702,2685,23377
4620014.02,CT,Montréal,0.829392944404591,25,9,0,x
4620015.00,CT,Montréal,0.377494982691288,3167,1532,1520,15909
4620016.00,CT,Montréal,0.513868548055589,2505,1091,1080,21097
4620017.00,CT,Montréal,0.227841414724946,1991,933,930,21897
4620018.00,CT,Montréal,0.358993663858891,1972,1030,1020,19798
4620019.00,CT,Montréal,0.387057250729322,2085,1094,1085,14503
4620021.00,CT,Montréal,0.44162753897979,3000,1389,1380,16079
4620022.00,CT,Montréal,0.164867686002374,1540,697,690,13006
4620023.00,CT,Montréal,0.352488550470591,1092,519,515,13596
4620024.00,CT,Montréal,0.260735195428371,2464,1231,1225,17795
4620025.00,CT,Montréal,0.21816134926182,2577,1126,1120,15215
4620026.00,CT,Montréal,0.172637400282145,1943,1016,1005,15602
4620027.00,CT,Montréal,0.0939208990015984,1704,839,835,16680
4620028.00,CT,Montréal,0.156510868984699,2051,1054,1050,21429
4620029.00,CT,Montréal,0.392212684952498,3524,1779,1775,18275
4620030.00,CT,Montréal,0.295997391988039,3176,1685,1650,23123
4620031.00,CT,Montréal,0.250297597807646,2540,1426,1400,22158
4620032.00,CT,Montréal,0.123640619573832,1408,843,835,16922
4620033.00,CT,Montréal,0.155285660356522,1779,898,895,17293
4620034.00,CT,Montréal,0.213534135056555,2314,1121,1120,16733
4620035.00,CT,Montréal,0.177492939875603,1994,1077,1065,21263
4620036.00,CT,Montréal,0.183982153302371,1718,950,935,18228
4620037.00,CT,Montréal,0.516567943313152,2838,1673,1655,16188
4620038.00,CT,Montréal,0.2061300774014,1865,916,910,14649
4620039.00,CT,Montréal,0.472198915566087,1414,606,600,14671
4620040.00,CT,Montréal,2.250307683148,0,0,0,x
4620041.00,CT,Montréal,0.259910586786211,1618,960,940,22815
4620042.00,CT,Montréal,0.10635753483364,833,526,520,18799
4620043.00,CT,Montréal,0.337348646037281,741,369,365,18184
4620044.00,CT,Montréal,0.13477621841836,2013,1113,1090,19128
4620045.00,CT,Montréal,0.115734454077631,1507,933,920,18174
4620046.00,CT,Montréal,0.155974771703959,1741,1001,990,15384
4620047.00,CT,Montréal,0.116146427454829,660,332,325,21696
4620048.00,CT,Montréal,0.140577969210863,2114,1130,1120,21257
4620049.00,CT,Montréal,0.163249301260114,1308,746,735,15249
4620050.00,CT,Montréal,0.0706267306621075,1287,684,670,13110
4620051.00,CT,Montréal,0.210635719900131,1321,729,700,21012
4620052.00,CT,Montréal,0.138290341621757,1982,1060,1045,16400
4620053.00,CT,Montréal,0.104504442444086,967,466,460,16840
4620054.00,CT,Montréal,0.148969927252889,1193,528,495,30605
4620055.01,CT,Montréal,0.698920655971944,2230,1480,1375,45715
4620055.02,CT,Montréal,1.32552636294842,442,249,230,103776
4620056.00,CT,Montréal,0.284448366095722,1156,515,480,23937
4620057.00,CT,Montréal,0.145186782241166,758,177,175,10446
4620058.00,CT,Montréal,0.150139224291444,867,527,495,18710
4620059.00,CT,Montréal,0.198264937648296,1155,695,650,22002
4620060.00,CT,Montréal,0.0935832947457433,1673,761,755,11413
4620061.00,CT,Montréal,0.213277068871617,457,283,265,30211
4620062.00,CT,Montréal,0.818478826795101,294,140,120,74837
4620063.00,CT,Montréal,0.354298318497658,415,215,205,14241
4620064.00,CT,Montréal,0.240380896796525,1102,539,495,14492
4620065.01,CT,Montréal,0.135053155085742,5849,3995,3730,13665
4620065.02,CT,Montréal,0.143989665392399,2716,1741,1645,21509
4620066.01,CT,Montréal,0.195849320484445,2738,1627,1480,20378
4620066.02,CT,Montréal,0.151755569982052,2003,1356,1315,12501
4620067.00,CT,Montréal,0.177741912586212,1837,848,845,21895
4620068.00,CT,Montréal,0.184218381646127,1959,677,680,13073
4620069.00,CT,Montréal,0.69897969168222,1780,942,910,48370
4620070.00,CT,Montréal,0.606279621534586,261,164,155,18725
4620071.00,CT,Montréal,0.408327656950474,0,0,0,x
4620072.00,CT,Montréal,2.54201934012449,3622,1671,1665,15614
4620073.00,CT,Montréal,0.312215003305197,1030,501,490,14522
4620074.00,CT,Montréal,0.405372114751339,3653,1609,1600,17881
4620075.00,CT,Montréal,0.316569243147254,2587,1197,1190,16887
4620076.00,CT,Montréal,0.352702368203878,2203,1001,995,15006
4620077.00,CT,Montréal,0.419876353664637,2282,983,975,21328
4620078.00,CT,Montréal,0.387783251746178,3076,1591,1560,29810
4620079.00,CT,Montréal,0.610172436675519,4037,1784,1775,16265
4620080.00,CT,Montréal,0.0862308626600504,821,420,410,33185
4620081.00,CT,Montréal,0.259764508722365,2339,1184,1175,22435
4620082.00,CT,Montréal,0.318088250000715,2031,903,900,17099
4620083.00,CT,Montréal,0.4252976975739,3107,1445,1435,19088
4620084.00,CT,Montréal,0.366955185647249,1653,727,720,17396
4620085.00,CT,Montréal,1.17920761924791,684,293,295,23784
