GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,NHS Non Return Rate,"v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings"
4620001.00,CT,Montréal,0.4583,2608,1398,1319,0.23800000000000002,620.0,705.0
4620002.00,CT,Montréal,0.38654,3039,1645,1549,0.09699999999999999,525.0,1025.0
4620003.00,CT,Montréal,0.7392,6238,3030,2870,0.113,1255.0,1615.0
4620004.00,CT,Montréal,0.45157,3261,1698,1615,0.223,615.0,995.0
4620005.00,CT,Montréal,0.56195,3163,1718,1632,0.19899999999999998,660.0,965.0
4620006.00,CT,Montréal,0.64759,4458,2124,2018,0.23600000000000002,535.0,1485.0
4620007.00,CT,Montréal,1.09935,5722,2936,2815,0.14800000000000002,1390.0,1425.0
4620008.00,CT,Montréal,0.62387,2943,1479,1403,0.231,670.0,730.0
4620009.00,CT,Montréal,4.27009,3488,1755,1665,0.268,695.0,965.0
4620010.00,CT,Montréal,0.93219,1428,786,741,0.313,310.0,430.0
4620011.00,CT,Montréal,1.24971,6280,2891,2847,0.174,1415.0,1430.0
4620012.01,CT,Montréal,0.23604,2416,1343,1302,0.37,155.0,1145.0
4620012.02,CT,Montréal,0.39672,4038,2145,2027,0.245,210.0,1815.0
4620013.00,CT,Montréal,1.08429,4824,2898,2717,0.195,940.0,1775.0
4620014.01,CT,Montréal,0.90619,6708,3814,3641,0.249,1295.0,2345.0
4620014.02,CT,Montréal,0.88102,10,9,4,,x,x
4620015.00,CT,Montréal,0.37537,4043,2267,2121,0.242,535.0,1585.0
4620016.00,CT,Montréal,0.51881,2514,1346,1205,0.376,280.0,895.0
4620017.00,CT,Montréal,0.22322,2050,1202,1157,0.35600000000000004,315.0,870.0
4620018.00,CT,Montréal,0.36726,1977,1218,1131,0.325,175.0,955.0
4620019.00,CT,Montréal,0.33668,2388,1425,1332,0.327,265.0,1065.0
4620021.00,CT,Montréal,0.44007,2976,1662,1536,0.402,125.0,1415.0
4620022.00,CT,Montréal,0.16973,1579,879,792,0.32299999999999995,140.0,655.0
4620023.00,CT,Montréal,0.3575,1255,737,683,0.499,135.0,585.0
4620024.00,CT,Montréal,0.27387,2601,1519,1424,0.33,245.0,1140.0
4620025.00,CT,Montréal,0.22474,3079,1612,1490,0.295,365.0,1120.0
4620026.00,CT,Montréal,0.1729,2300,1472,1362,0.342,380.0,985.0
4620027.00,CT,Montréal,0.09487,1620,971,892,0.384,180.0,715.0
4620028.00,CT,Montréal,0.15496,1974,1178,1088,0.34,140.0,945.0
4620029.00,CT,Montréal,0.39757,3721,2093,1988,0.321,360.0,1630.0
4620030.00,CT,Montréal,0.29932,3191,1939,1802,0.308,335.0,1465.0
4620031.00,CT,Montréal,0.25231,2619,1591,1487,0.267,340.0,1145.0
4620032.00,CT,Montréal,0.12693,1524,980,932,0.302,165.0,770.0
4620033.00,CT,Montréal,0.15745,1703,1012,941,0.282,200.0,740.0
4620034.00,CT,Montréal,0.2168,2519,1351,1275,0.376,370.0,910.0
4620035.00,CT,Montréal,0.18204,2000,1202,1144,0.324,100.0,1045.0
4620036.00,CT,Montréal,0.18516,2033,1260,1169,0.29100000000000004,230.0,935.0
4620037.00,CT,Montréal,0.50782,2996,1953,1877,0.17,285.0,1590.0
4620038.00,CT,Montréal,0.2152,2016,1037,1002,0.301,220.0,785.0
4620039.00,CT,Montréal,0.47191,1762,971,903,0.336,275.0,605.0
4620040.00,CT,Montréal,2.17548,0,0,0,,x,x
4620041.00,CT,Montréal,0.26224,1636,1085,982,0.272,155.0,825.0
4620042.00,CT,Montréal,0.10486,900,615,570,0.22899999999999998,180.0,390.0
4620043.00,CT,Montréal,0.34392,954,594,554,0.287,140.0,415.0
4620044.00,CT,Montréal,0.13623,2110,1315,1220,0.284,355.0,860.0
4620045.00,CT,Montréal,0.11753,1462,1021,942,0.297,140.0,800.0
4620046.00,CT,Montréal,0.16039,2013,1259,1184,0.213,290.0,895.0
4620047.00,CT,Montréal,0.11563,717,411,383,0.262,75.0,305.0
4620048.00,CT,Montréal,0.13992,1998,1235,1145,0.368,150.0,995.0
4620049.00,CT,Montréal,0.16404,1319,991,853,0.287,155.0,700.0
4620050.00,CT,Montréal,0.07109,1336,759,727,0.28600000000000003,95.0,630.0
4620051.00,CT,Montréal,0.21677,1349,914,776,0.312,110.0,645.0
4620052.00,CT,Montréal,0.13986,1911,1164,1055,0.205,165.0,890.0
4620053.00,CT,Montréal,0.10278,1008,858,683,0.315,295.0,410.0
4620054.00,CT,Montréal,0.15407,1082,650,573,0.35700000000000004,315.0,310.0
4620055.01,CT,Montréal,0.70994,4531,3312,2697,0.35700000000000004,1415.0,1280.0
4620055.02,CT,Montréal,1.34698,775,534,433,0.32799999999999996,360.0,55.0
4620056.00,CT,Montréal,0.2881,1562,932,772,0.348,130.0,640.0
4620057.00,CT,Montréal,0.14468,1320,766,614,0.424,175.0,450.0
4620058.00,CT,Montréal,0.15227,957,666,616,0.495,105.0,510.0
4620059.00,CT,Montréal,0.20241,1359,943,816,0.341,305.0,515.0
