GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5078: University certificate, diploma or degree at bachelor level or above","v_CA16_5123: University certificate, diploma or degree at bachelor level or above"
4620001.00,CT,Montréal,0.46188,2638,1452,1328,2285,1590,330,295
4620002.00,CT,Montréal,0.38927,3516,1902,1762,2870,1955,335,275
4620003.00,CT,Montréal,0.7401,6373,3103,2937,5245,3555,770,700
4620004.00,CT,Montréal,0.44828,3176,1704,1603,2770,1920,405,360
4620005.00,CT,Montréal,0.56464,3060,1749,1593,2620,1810,385,345
4620006.00,CT,Montréal,0.64815,4467,2149,1993,3515,2420,530,450
4620007.00,CT,Montréal,1.09059,5682,2946,2809,4910,3270,1015,845
4620008.00,CT,Montréal,0.6229,3016,1586,1465,2660,1875,530,475
4620009.00,CT,Montréal,4.26975,3470,1770,1640,3030,2120,405,360
4620010.00,CT,Montréal,0.92115,1479,754,701,1220,880,240,205
4620011.00,CT,Montréal,1.24911,6622,2898,2826,4880,3325,1445,1260
4620012.01,CT,Montréal,0.23776,2502,1370,1315,2150,1325,275,250
4620012.02,CT,Montréal,0.39639,4034,2175,2016,3330,2250,665,575
4620013.00,CT,Montréal,1.08415,5166,2904,2704,4335,2950,1005,835
4620014.01,CT,Montréal,0.90072,7545,4302,4090,6470,4895,2185,2000
4620014.02,CT,Montréal,0.87177,0,4,1,x,x,x,x
4620015.00,CT,Montréal,0.37692,4103,2339,2206,3305,2620,915,875
4620016.00,CT,Montréal,0.51911,2539,1315,1174,1890,1505,505,465
4620017.00,CT,Montréal,0.22436,2141,1237,1187,1775,1340,480,440
4620018.00,CT,Montréal,0.36776,2004,1219,1136,1695,1315,495,440
4620019.00,CT,Montréal,0.33256,2340,1434,1296,2120,1490,560,520
4620021.00,CT,Montréal,0.44307,2891,1676,1433,2475,1775,490,465
4620022.00,CT,Montréal,0.17097,1550,870,798,1230,940,340,325
4620023.00,CT,Montréal,0.3583,1282,719,686,1175,910,315,280
4620024.00,CT,Montréal,0.2761,2647,1509,1446,2430,1765,680,605
4620025.00,CT,Montréal,0.22328,3016,1650,1511,2475,1975,710,655
4620026.00,CT,Montréal,0.17478,2581,1589,1498,2245,1735,675,605
4620027.00,CT,Montréal,0.09496,1650,982,923,1520,1130,340,315
4620028.00,CT,Montréal,0.1577,2077,1218,1152,1875,1495,640,610
4620029.00,CT,Montréal,0.40146,3679,2096,2003,3100,2340,990,885
